IncidntNum,Category,Descript,DayOfWeek,Date,PdDistrict,Resolution,X,Y,Location
140579844,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,07/12/2014 12:00:00 AM +0000,BAYVIEW,"ARREST, CITED",-122.387633589049,37.7435291182778,"(37.7435291182778, -122.387633589049)"
140575046,WARRANTS,ENROUTE TO ADULT AUTHORITY,Friday,07/11/2014 12:00:00 AM +0000,SOUTHERN,"ARREST, BOOKED",-122.410939205552,37.7792122590382,"(37.7792122590382, -122.410939205552)"
140654781,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Wednesday,08/06/2014 12:00:00 AM +0000,BAYVIEW,NONE,-122.404100833691,37.7261728040878,"(37.7261728040878, -122.404100833691)"
140552367,MISSING PERSON,FOUND PERSON,Thursday,07/03/2014 12:00:00 AM +0000,MISSION,UNFOUNDED,-122.406662657485,37.7568815847358,"(37.7568815847358, -122.406662657485)"
140584887,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,07/14/2014 12:00:00 AM +0000,MISSION,"ARREST, BOOKED",-122.433075152403,37.7641937790539,"(37.7641937790539, -122.433075152403)"
140609350,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,07/22/2014 12:00:00 AM +0000,MISSION,NONE,-122.421813516633,37.7680527456572,"(37.7680527456572, -122.421813516633)"
140595721,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,07/17/2014 12:00:00 AM +0000,NORTHERN,NONE,-122.431369772433,37.7853730435768,"(37.7853730435768, -122.431369772433)"
140592608,RUNAWAY,RUNAWAY,Wednesday,07/16/2014 12:00:00 AM +0000,TARAVAL,LOCATED,-122.457393169818,37.7130740853367,"(37.7130740853367, -122.457393169818)"
140721512,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Wednesday,08/27/2014 12:00:00 AM +0000,SOUTHERN,NONE,-122.402727263509,37.7832239066874,"(37.7832239066874, -122.402727263509)"
140578454,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,07/10/2014 12:00:00 AM +0000,RICHMOND,NONE,-122.462565342048,37.7868000343295,"(37.7868000343295, -122.462565342048)"
140693303,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,08/18/2014 12:00:00 AM +0000,SOUTHERN,"ARREST, BOOKED",-122.406659517434,37.7850491022993,"(37.7850491022993, -122.406659517434)"
140712276,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,08/24/2014 12:00:00 AM +0000,SOUTHERN,"ARREST, BOOKED",-122.403434086745,37.7876430502097,"(37.7876430502097, -122.403434086745)"
140684095,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,08/15/2014 12:00:00 AM +0000,MISSION,"ARREST, CITED",-122.41561633832,37.768536012388,"(37.768536012388, -122.41561633832)"
140613492,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Wednesday,07/23/2014 12:00:00 AM +0000,RICHMOND,NONE,-122.441817870741,37.7849665578487,"(37.7849665578487, -122.441817870741)"
140563687,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,07/07/2014 12:00:00 AM +0000,CENTRAL,NONE,-122.405514805627,37.7899478040003,"(37.7899478040003, -122.405514805627)"
146162548,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,08/09/2014 12:00:00 AM +0000,CENTRAL,NONE,-122.405291680009,37.7969085529165,"(37.7969085529165, -122.405291680009)"
140696852,NON-CRIMINAL,AIDED CASE,Tuesday,08/19/2014 12:00:00 AM +0000,INGLESIDE,NONE,-122.447585692114,37.7155286201025,"(37.7155286201025, -122.447585692114)"
140691062,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Sunday,08/17/2014 12:00:00 AM +0000,TENDERLOIN,NONE,-122.416638718715,37.7824314548693,"(37.7824314548693, -122.416638718715)"
140692270,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS CHILD,Tuesday,07/29/2014 12:00:00 AM +0000,PARK,NONE,-122.447621409071,37.7736120384888,"(37.7736120384888, -122.447621409071)"
140622813,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,07/27/2014 12:00:00 AM +0000,BAYVIEW,"ARREST, BOOKED",-122.390416955474,37.7355926106158,"(37.7355926106158, -122.390416955474)"
140688564,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,08/17/2014 12:00:00 AM +0000,RICHMOND,NONE,-122.472613618979,37.7768128868724,"(37.7768128868724, -122.472613618979)"
140545340,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,07/01/2014 12:00:00 AM +0000,INGLESIDE,NONE,-122.451592083578,37.7446477076157,"(37.7446477076157, -122.451592083578)"
146174189,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,08/27/2014 12:00:00 AM +0000,SOUTHERN,NONE,-122.408560856227,37.7786813629049,"(37.7786813629049, -122.408560856227)"
140631422,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,07/30/2014 12:00:00 AM +0000,MISSION,"ARREST, CITED",-122.41532199552,37.7540343111337,"(37.7540343111337, -122.41532199552)"
140603879,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,07/21/2014 12:00:00 AM +0000,TENDERLOIN,NONE,-122.416887227558,37.7813680469766,"(37.7813680469766, -122.416887227558)"
140639971,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,07/31/2014 12:00:00 AM +0000,INGLESIDE,NONE,-122.415329140196,37.7134852577295,"(37.7134852577295, -122.415329140196)"
140728916,OTHER OFFENSES,RESISTING ARREST,Saturday,08/30/2014 12:00:00 AM +0000,RICHMOND,NONE,-122.462267735146,37.7847497141478,"(37.7847497141478, -122.462267735146)"
140665487,ASSAULT,BATTERY,Sunday,08/10/2014 12:00:00 AM +0000,MISSION,"ARREST, BOOKED",-122.421526276121,37.7649058705108,"(37.7649058705108, -122.421526276121)"
140665023,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,08/09/2014 12:00:00 AM +0000,TENDERLOIN,PSYCHOPATHIC CASE,-122.412465977545,37.7830494562119,"(37.7830494562119, -122.412465977545)"
140695735,MISSING PERSON,MISSING ADULT,Monday,08/18/2014 12:00:00 AM +0000,PARK,NONE,-122.452868550073,37.7745110733269,"(37.7745110733269, -122.452868550073)"
140662079,MISSING PERSON,FOUND PERSON,Friday,08/08/2014 12:00:00 AM +0000,BAYVIEW,NONE,-122.394419029727,37.7364325374899,"(37.7364325374899, -122.394419029727)"
146171339,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,08/23/2014 12:00:00 AM +0000,PARK,NONE,-122.44818664287,37.7689239994274,"(37.7689239994274, -122.44818664287)"
146156999,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Saturday,08/02/2014 12:00:00 AM +0000,SOUTHERN,NONE,-122.409738771906,37.7703482035751,"(37.7703482035751, -122.409738771906)"
